I1,I2,E,T1,T2,T3,T4,T5,T6,T7
7,6.23,2.39,5.14,7,7,7,3.87,6.88,7
4.99,6.64,1.96,7,1.49,3.96,5.88,6.02,7,6.53
5.55,1.82,2.58,6.44,5.56,1.47,4.05,7,3.4,5.58
3.38,7,5.98,2.24,2.27,4.52,2.06,7,6.44,7
7,3.66,5.6,3.36,7,4.4,5.14,5.48,2.87,4.77
2.96,5.14,2.36,5.18,6.86,6.48,4.51,6.7,6.14,7
7,6.36,6.37,3.07,3.05,7,6.16,6.13,7,7
7,3.32,5.51,4.15,3.06,6.22,3.36,2.47,7,7
7,7,6.74,7,7,7,7,6.81,4.03,5.66
7,3.22,7,1.93,4.38,5.25,2.87,7,7,1.57
7,3.19,7,7,7,3.15,4.51,5.49,3.83,4.57
5.77,2.56,7,3.44,1.58,3.56,5.88,5.59,4.26,2.25
7,6.55,1.99,5.59,4.87,6.54,7,5.75,3.8,7
7,5.08,7,5.34,7,3.3,4.24,3.91,7,7
2.47,7,4.53,4.79,7,7,5.93,7,6.55,7
2.84,7,7,7,7,7,2.01,2.99,7,4.14
2.95,1.81,6.16,2.37,2.84,1.63,3.39,7,2.12,6.88
7,2.62,4.55,5.13,3.43,4.71,7,7,4.65,7
7,7,5.95,2.8,4.52,5.93,4.35,6.83,7,7
4.08,7,4.15,7,6.48,3.86,6.23,7,6.98,2.9
4.58,4.64,6.15,2.69,3.09,7,2.63,2.91,6.76,6.14
2.37,3.45,7,1.68,1.5,7,7,7,6.14,7
4.14,2.05,2.04,7,3.31,4.01,3.29,7,7,1.69
7,2.39,5.95,6.71,7,4.7,6.95,7,7,3.41
2.06,2.37,2.71,2.42,2.87,6.02,7,6.66,6.25,7
7,5.64,2.02,6.13,7,7,5.16,2.51,6.78,7
7,7,5.19,4.47,7,6.28,7,6.1,5.37,4.24
4.74,3.54,2.88,7,7,2.57,2.57,6.63,4.76,6.01
1.85,3.71,3.92,7,4.4,7,3.15,5.47,3.79,7
4.77,7,4.55,7,7,7,2.17,7,4.95,2.43
3.05,4.75,7,3.23,7,7,6.24,3.15,7,4.9
1.46,1.58,3.17,5.55,7,2.43,2.37,7,7,7
7,4.6,2.91,7,3.73,7,7,6.95,5.47,3.53
4.96,4.83,5.73,7,4.37,3.53,3.96,6.27,3.68,7
6.54,7,7,3.72,3.56,2.0,7,6.45,7,3.13
4.82,7,3.19,4.23,7,2.5,5.54,7,7,5.32
1.84,7,4.79,4.45,3.85,5.79,7,7,5.79,4.94
4.81,3.89,2.12,2.32,7,3.91,7,3.55,7,6.54
7,7,7,2.42,4.07,5.73,7,6.92,3.73,2.27
4.79,3.87,7,3.84,7,5.3,7,2.73,3.55,6.6
5.23,6.41,1.93,3.58,1.81,3.4,7,7,1.87,7
4.53,6.95,2.51,3.38,6.22,1.91,7,6.79,1.65,6.44
7,2.9,7,7,4.95,7,7,5.75,3.79,3.16
4.47,2.73,3.77,3.73,5.42,5.79,7,7,6.69,2.27
7,7,4.25,2.93,7,7,3.17,1.47,4.28,7
3.34,5.16,2.67,5.64,5.75,3.91,3.46,1.64,2.68,2.44
7,5.21,6.39,3.96,1.75,7,6.97,7,6.67,4.19
2.91,2.03,4.9,7,5.34,4.59,6.78,2.36,7,2.03
5.68,3.55,4.93,1.64,6.14,5.14,7,2.19,6.38,1.87
5.03,1.97,7,2.58,5.24,4.05,3.96,6.41,3.78,4.54
3.17,4.7,7,6.79,7,6.19,7,5.68,7,3.01
7,1.85,3.85,7,5.85,2.48,7,2.6,3.86,7
4.04,5.71,7,3.46,3.12,7,6.57,7,7,2.6
6.47,7,7,7,6.7,7,7,4.39,7,3.92
7,7,6.0,1.47,7,7,6.63,5.35,5.36,7
7,7,1.43,5.15,7,2.18,2.54,2.01,3.33,4.01
5.86,6.83,4.07,7,3.85,4.34,7,6.83,5.11,2.87
5.0,2.01,6.52,7,7,7,3.87,7,5.45,4.22
4.8,2.49,7,3.87,7,7,3.05,7,3.39,4.02
2.06,2.53,6.33,3.7,7,4.54,3.64,4.4,2.74,5.99
7,7,1.55,6.1,5.63,5.47,1.53,4.71,2.22,3.36
4.7,1.49,2.64,4.37,7,1.47,7,5.57,1.88,7
1.48,6.38,3.3,3.19,5.22,7,2.78,7,3.04,7
1.95,1.88,7,6.37,4.07,2.17,4.35,3.01,7,7
1.6,6.49,4.93,5.0,4.06,4.23,1.75,5.56,6.65,4.45
2.04,4.56,5.91,7,2.76,3.94,4.93,5.9,2.22,3.12
7,5.8,4.43,7,6.06,6.42,7,1.71,6.83,7
4.35,5.47,4.42,2.64,6.25,5.6,5.42,3.67,2.58,2.36
7,6.69,2.12,2.75,6.5,7,4.43,4.7,4.2,2.39
2.32,6.69,5.89,6.85,7,6.35,7,6.36,7,7
3.45,6.11,3.86,3.0,3.07,3.54,7,5.26,4.7,2.66
3.13,7,7,7,7,6.65,7,7,7,4.22
7,1.5,6.84,2.7,3.35,4.32,7,2.31,2.06,7
6.16,4.87,1.95,3.24,7,6.75,6.62,3.04,6.28,5.25
7,5.09,1.53,3.9,2.56,4.64,7,7,7,2.6
7,7,3.1,1.55,5.71,5.62,7,5.67,1.85,4.35
2.77,6.61,7,7,3.4,3.69,5.95,5.99,7,7
6.02,6.49,7,7,6.91,7,7,3.68,6.85,4.3
6.62,7,2.35,6.76,7,7,2.58,7,5.09,7
4.58,5.3,1.41,7,7,2.7,7,7,3.92,4.73
4.19,4.22,2.97,4.32,7,7,7,6.18,6.99,7
4.68,7,6.09,7,4.46,1.59,6.2,7,7,6.58
5.56,4.84,5.86,5.71,4.95,5.86,2.66,7,5.16,3.48
4.31,3.44,7,4.9,4.0,7,7,2.59,7,7
4.75,4.49,7,7,5.12,1.44,5.66,3.95,2.78,7
6.37,5.79,2.76,2.86,7,2.89,6.43,7,1.85,1.62
2.55,2.87,3.56,2.57,5.76,4.6,3.33,3.68,5.5,7
5.78,1.52,3.83,3.31,7,3.36,5.53,7,2.3,7
1.92,7,2.45,7,6.31,4.02,3.81,7,5.53,7
5.85,6.11,7,1.72,7,7,4.28,3.56,2.51,3.11
7,6.89,3.78,4.16,6.57,3.01,7,3.29,4.51,7
6.22,7,7,5.29,3.85,4.91,3.59,6.13,2.38,7
7,7,2.69,5.36,7,6.36,2.85,6.14,7,5.84
1.71,7,6.2,4.12,6.19,4.75,1.8,3.25,7,7
7,7,7,3.72,3.09,5.29,7,7,6.39,7
7,6.29,3.9,7,7,5.45,7,6.66,7,4.27
2.02,6.85,4.2,4.98,5.06,3.4,7,7,3.55,6.21
7,2.31,3.69,7,6.02,3.65,6.3,1.47,4.7,7
7,2.36,3.78,7,7,7,1.85,4.69,2.61,6.02
4.63,7,7,6.75,7,7,5.99,7,4.24,4.48
5.2,6.39,3.04,7,4.23,7,5.6,7,3.31,4.95
6.17,4.03,3.82,2.89,4.71,7,6.27,4.81,7,4.59
7,7,3.25,4.36,5.31,1.76,7,6.9,7,6.9
5.74,4.62,2.22,6.51,7,1.76,7,2.23,2.41,1.81
3.19,5.19,7,2.77,6.33,6.41,6.05,2.07,2.88,2.3
6.25,6.75,5.04,7,2.18,4.87,7,7,7,6.2
4.16,1.76,7,2.48,7,4.04,2.59,2.67,7,2.51
7,2.91,7,4.99,7,6.48,2.66,1.78,2.15,7
5.57,5.09,2.85,4.03,5.51,3.84,7,2.64,7,4.04
6.05,1.51,6.1,4.8,4.25,4.93,7,2.16,6.19,3.2
1.52,4.05,6.89,2.52,2.13,4.96,7,7,7,7
1.47,3.02,1.8,5.78,5.12,7,5.35,7,1.91,4.88
6.02,2.92,7,2.25,6.93,7,1.76,1.61,4.03,7
7,7,7,5.0,6.63,7,2.82,1.81,3.53,6.82
6.71,6.84,3.45,6.6,6.82,5.87,3.69,5.91,7,6.96
7,7,1.81,7,7,7,5.22,2.4,4.08,6.25
2.75,7,3.95,3.27,7,3.53,5.05,6.67,6.61,3.49
7,7,5.32,2.79,7,7,4.08,3.69,4.56,3.21
6.97,7,3.05,7,5.97,2.61,7,7,6.77,6.14
1.79,3.25,4.89,6.42,3.73,1.92,7,7,2.08,5.92
4.51,2.82,7,4.99,2.56,1.84,7,6.85,7,3.05
5.24,7,7,6.03,1.46,1.46,3.29,7,1.58,5.62
7,3.77,1.75,2.69,7,3.25,1.94,4.23,2.97,3.83
4.96,6.53,1.92,2.53,1.71,1.56,3.12,3.85,3.52,7
6.82,3.32,2.0,7,7,7,3.87,6.92,3.57,7
4.05,4.34,7,7,2.67,6.27,7,5.8,5.98,5.51
5.53,6.18,3.18,5.88,5.77,7,2.02,7,4.92,7
2.03,2.08,7,7,5.71,5.25,6.75,4.36,7,7
3.57,3.74,7,7,7,2.69,7,2.32,7,6.8
7,6.04,7,1.79,7,1.63,7,7,3.0,7
4.37,5.02,7,6.75,4.55,7,1.99,5.63,1.98,7
7,7,7,6.93,5.83,7,7,3.14,5.87,7
6.9,2.31,6.93,7,7,7,7,4.62,7,2.57
4.1,7,5.79,2.84,1.83,5.52,1.43,3.26,3.97,6.7
2.77,7,4.36,7,4.84,7,3.58,7,2.05,6.66
1.95,4.36,5.19,7,5.32,7,7,7,3.01,5.34
6.26,7,5.35,7,4.14,4.24,2.07,5.3,7,7
1.99,3.68,4.11,7,7,6.19,4.8,5.19,7,5.31
1.84,4.95,1.47,1.48,7,3.42,7,1.78,7,7
3.9,7,7,4.18,4.0,7,3.75,4.08,4.24,7
3.72,2.03,7,4.63,4.64,7,5.52,2.3,5.64,7
3.41,7,5.89,7,2.92,1.57,1.68,3.78,7,7
4.07,7,2.11,7,7,5.37,7,2.36,2.83,3.33
4.0,3.33,7,5.7,4.42,3.39,7,7,7,7
6.84,2.93,7,7,5.28,7,7,7,5.45,7
6.98,2.62,7,6.28,6.38,4.7,7,2.24,2.68,7
1.92,7,7,4.7,5.74,7,2.0,7,5.16,2.01
3.47,4.95,5.53,7,7,6.61,4.49,7,2.35,7
1.72,4.08,7,7,7,7,7,3.3,7,1.42
7,5.57,6.11,7,6.27,1.9,2.94,2.73,3.9,4.41
6.1,3.08,7,6.9,4.32,4.35,4.44,5.8,7,7
7,1.49,3.36,7,2.86,1.58,4.41,1.93,4.93,1.69
7,7,1.95,7,7,4.08,5.05,4.62,4.8,4.98
7,4.6,7,7,7,5.19,4.03,7,7,2.79
3.56,4.04,6.21,3.74,2.01,3.21,5.8,7,2.33,7
1.72,2.43,2.49,1.72,6.89,2.83,4.54,7,5.53,1.57
7,5.67,7,7,4.39,7,7,4.84,2.6,4.95
4.15,1.73,7,7,2.84,7,6.38,5.89,6.93,1.88
7,5.45,1.57,6.52,3.93,2.82,1.72,6.44,3.52,2.84
7,2.48,7,4.63,5.64,7,7,7,7,4.47
6.52,7,3.86,4.92,4.06,6.43,6.03,5.29,7,7
3.76,4.31,7,7,3.73,3.48,4.8,3.16,1.82,3.96
7,7,6.56,4.1,7,6.43,3.32,6.21,2.69,6.8
7,7,4.73,7,6.8,2.01,7,2.4,5.99,6.93
7,5.9,7,2.54,3.11,6.15,3.98,3.63,7,1.53
1.87,7,1.66,2.91,7,7,2.68,7,4.54,5.6
2.9,7,3.49,5.67,7,7,3.3,4.99,2.66,6.43
3.7,2.7,5.77,3.46,7,4.92,2.59,7,4.47,7
2.64,2.89,3.53,6.4,3.25,5.69,6.02,7,2.07,7
7,7,7,7,2.73,7,7,7,7,4.07
7,7,7,7,7,7,7,7,1.77,7
7,3.48,5.88,7,7,7,4.55,2.74,7,7
7,7,2.16,1.61,6.1,7,1.97,5.14,7,6.85
5.39,7,5.86,6.01,7,5.93,3.37,2.68,3.48,6.31
7,2.28,3.64,5.33,4.59,4.14,7,6.16,2.4,5.23
6.21,7,5.56,5.74,6.31,4.33,7,2.48,4.56,7
7,7,2.89,7,2.19,2.99,7,7,6.26,7
7,5.21,7,5.91,3.64,1.76,3.96,7,7,4.73
3.16,3.58,4.27,7,7,5.57,7,2.35,5.93,3.81
7,3.6,5.96,7,7,7,7,7,7,5.78
7,6.58,7,1.64,6.45,4.24,7,7,4.88,7
7,4.86,5.02,4.83,7,7,7,5.8,6.21,3.8
1.9,3.47,5.1,7,7,5.21,7,7,3.36,5.23
7,1.45,7,7,7,3.77,1.74,7,7,5.15
4.45,6.57,2.32,7,4.03,5.11,7,5.21,7,7
7,2.57,6.4,5.64,6.38,2.32,5.8,5.94,6.7,2.76
7,3.01,2.03,7,4.23,5.52,3.8,3.01,7,7
3.05,7,1.6,7,7,7,5.4,4.43,5.27,7
2.0,6.25,1.5,7,5.02,5.55,7,7,7,3.62
6.97,7,5.0,1.86,7,7,7,7,2.33,3.89
4.01,7,5.77,3.0,4.27,7,6.28,6.6,5.29,4.91
7,2.69,6.6,5.7,1.5,2.57,3.03,7,3.64,7
1.61,6.51,2.49,6.32,7,5.14,7,1.91,7,2.41
7,4.97,1.45,6.42,6.63,3.21,5.89,4.62,5.36,3.0
7,7,7,7,1.71,5.34,4.69,5.27,2.55,7
3.1,7,7,7,6.76,7,7,7,3.36,1.63
7,7,3.82,3.82,7,7,7,1.41,5.75,7
3.76,6.21,7,6.68,6.89,2.07,4.61,6.32,7,7
4.36,5.64,4.33,4.22,7,2.47,3.77,3.02,7,2.0
7,7,3.69,5.47,3.56,5.63,7,1.57,5.4,2.0
7,7,7,6.77,5.83,7,7,1.8,7,2.09
4.76,4.33,7,5.52,6.56,6.98,5.66,7,3.93,5.98
7,1.83,4.62,4.3,7,5.8,2.65,2.81,7,4.13
5.78,4.99,7,7,4.43,7,7,6.54,2.84,6.73
7,3.9,6.36,3.94,7,6.24,1.9,1.84,7,6.66
7,3.06,4.64,5.2,4.04,7,5.69,4.98,4.68,3.35
2.87,3.41,6.69,3.5,2.95,7,7,6.34,7,7
2.5,4.08,6.99,6.58,2.0,7,1.68,1.73,6.18,7
7,2.6,1.96,5.94,6.72,4.88,3.58,7,7,7
2.47,4.95,1.95,4.75,6.69,3.44,7,6.22,1.42,7
4.44,1.69,6.8,5.15,7,7,7,6.14,1.73,1.47
6.29,7,7,3.74,2.33,4.66,4.19,3.15,1.73,7
7,6.73,4.45,3.39,7,4.54,6.16,2.71,7,7
7,2.01,4.42,4.5,7,7,7,6.21,5.41,1.96
4.43,7,5.52,5.89,5.5,4.28,7,7,3.97,7
2.97,3.05,7,3.06,7,7,6.32,6.78,3.97,1.98
6.55,7,5.61,4.82,7,7,3.47,7,6.33,3.84
5.87,4.87,7,2.21,5.86,4.68,1.87,3.61,4.8,7
2.26,2.67,3.84,7,3.47,7,6.18,6.63,5.21,1.43
2.21,7,3.82,7,2.07,2.03,3.82,7,4.11,1.79
6.83,2.66,2.39,5.65,5.41,2.18,4.99,7,5.72,5.91
7,7,5.21,4.95,2.54,5.0,3.52,3.15,6.1,2.03
5.35,7,4.59,3.68,3.21,7,3.73,3.86,1.69,2.06
6.11,4.17,3.25,6.43,7,6.32,2.02,2.15,7,7
3.69,4.13,6.67,4.22,7,1.73,7,6.53,5.79,1.54
6.37,5.92,4.67,5.29,2.47,3.63,6.49,1.84,2.03,7
6.86,5.94,1.47,4.97,2.31,2.96,4.29,3.02,4.57,7
3.24,6.29,1.81,7,6.6,7,2.88,5.49,3.12,7
5.34,1.84,1.55,5.82,7,4.11,7,7,7,5.84
3.37,7,4.46,7,7,6.52,5.02,4.13,7,7
4.24,5.52,2.52,7,7,7,2.13,6.86,7,7
7,3.02,5.32,5.39,7,6.99,2.32,1.86,1.64,5.07
2.44,6.62,7,3.27,3.66,2.86,6.23,3.3,3.87,7
3.2,4.52,7,3.33,7,5.63,7,4.52,4.29,6.22
3.06,4.3,3.06,6.17,7,3.23,5.88,7,7,5.08
3.79,7,7,7,2.04,4.61,3.58,5.08,2.1,7
7,4.67,7,7,7,5.32,7,1.52,7,5.83
2.45,7,2.66,7,7,1.73,7,6.43,1.51,3.07
5.54,6.18,5.47,1.78,4.58,7,7,6.77,5.31,7
7,3.79,7,3.7,7,2.76,5.79,5.15,6.62,5.25
2.13,3.19,2.69,3.26,3.25,5.54,1.87,2.21,7,3.46
3.34,6.09,3.42,7,3.56,2.08,7,3.94,7,7
6.99,2.71,2.11,7,5.79,2.91,7,5.22,1.49,7
7,1.72,7,7,5.79,7,7,4.09,4.78,6.85
5.66,6.25,4.98,7,5.54,7,5.73,2.51,2.25,7
2.11,1.83,7,7,7,7,7,4.14,5.66,4.42
1.67,7,2.32,4.87,7,3.8,1.93,1.95,7,7
7,4.85,1.41,3.25,5.7,6.11,3.5,3.27,6.21,2.84
3.2,2.16,2.45,3.94,6.5,7,1.42,2.36,2.35,7
1.89,5.31,1.67,2.56,4.83,7,7,6.78,5.46,2.36
7,5.89,7,1.75,2.19,7,7,7,4.68,6.74
4.31,7,5.22,6.45,7,2.88,5.76,5.31,4.24,3.81
2.7,3.58,6.22,4.49,7,7,4.98,7,5.96,6.58
3.62,4.61,5.92,4.32,7,7,4.25,5.63,7,7
3.76,5.76,7,7,2.47,2.67,1.8,4.87,4.18,4.78
7,5.9,5.05,4.76,2.57,7,7,6.23,7,7
7,2.91,4.34,3.47,5.65,5.98,7,7,7,7
1.83,3.21,7,6.08,7,3.26,2.43,7,7,4.41
3.0,7,4.13,7,5.9,2.77,7,7,2.76,6.92
1.96,7,3.09,2.31,7,1.81,1.68,2.26,4.82,3.31
2.37,7,5.85,1.44,7,3.74,1.4,7,2.55,7
1.84,5.9,1.96,5.91,7,5.15,7,3.48,7,7
4.28,7,2.26,7,7,7,7,5.11,3.24,7
2.73,3.89,7,2.09,3.96,2.08,4.22,3.35,4.01,1.68
7,7,6.16,6.55,2.4,5.6,7,6.53,6.56,7
3.91,4.38,7,7,5.56,3.45,2.43,5.44,5.43,1.97
5.15,6.79,7,2.77,1.97,3.77,3.61,3.53,2.11,5.69
2.8,1.71,5.3,7,2.66,4.64,3.35,4.58,7,7
7,7,7,7,1.5,1.57,1.92,3.69,7,3.77
5.14,3.62,6.89,3.55,7,4.54,7,6.66,7,5.01
4.52,5.33,4.3,1.45,7,3.43,2.76,2.88,1.64,2.22
1.81,7,2.62,5.7,6.04,7,1.64,3.29,7,7
3.59,6.0,7,1.98,5.76,3.56,3.05,4.34,3.3,7
2.77,7,7,5.92,5.14,6.02,4.06,7,3.01,4.64
6.0,2.35,6.73,7,6.98,7,3.06,7,5.09,7
3.42,6.79,5.74,4.56,5.57,4.91,6.09,3.51,1.53,4.9
4.37,4.23,7,6.99,4.43,1.8,2.51,1.86,4.19,5.55
7,7,3.78,7,3.06,6.78,7,7,7,7
7,7,7,7,6.01,3.92,2.1,3.76,7,7
6.7,1.98,2.13,7,6.62,2.53,3.15,5.42,5.91,7
3.64,3.85,4.05,7,7,4.45,2.57,6.09,6.4,5.47
4.97,3.16,3.54,7,5.67,4.43,3.88,3.68,7,3.21
5.24,7,3.79,2.13,1.95,5.5,2.72,7,3.66,2.28
3.51,5.92,7,4.74,3.86,6.04,5.76,7,7,1.75
5.13,7,7,3.27,6.41,6.41,5.47,7,6.76,5.56
7,7,4.29,5.95,7,5.9,7,3.95,4.2,7
3.92,3.68,5.54,2.45,2.61,7,7,7,4.22,7
2.72,6.41,7,6.89,3.25,6.41,7,5.14,6.09,6.27
2.72,1.47,2.75,4.2,7,7,6.48,3.71,3.7,5.69
3.18,3.43,4.49,6.71,7,4.89,1.62,7,3.82,3.39
5.84,2.14,7,5.13,5.98,7,6.86,2.19,7,7
2.21,1.63,6.62,5.61,3.5,2.26,7,6.82,2.48,7
7,7,7,2.3,3.33,1.72,5.34,2.84,7,7
7,6.18,7,2.03,6.19,7,1.79,2.47,7,6.96
1.82,5.51,5.25,6.28,3.54,1.48,6.79,7,7,2.06
5.36,7,3.72,7,6.39,4.6,2.09,5.3,4.5,7
7,7,5.82,5.2,3.76,7,7,7,6.28,3.83
6.16,5.22,1.46,7,7,2.59,1.65,7,2.23,3.37
3.42,3.82,6.74,5.0,2.79,3.44,7,7,7,2.09
5.06,7,7,7,2.14,7,1.79,7,7,5.17
4.6,7,7,7,3.8,3.53,3.83,7,5.72,7
5.17,2.97,7,7,5.6,2.77,7,6.9,3.43,7
6.38,1.51,5.69,3.57,6.55,2.49,7,4.41,3.87,3.52
2.38,7,2.3,5.01,3.21,7,1.75,5.02,2.4,7
7,7,4.33,7,5.4,2.03,7,2.19,7,7
3.73,5.43,4.74,1.5,6.18,3.67,7,7,5.36,3.04
2.59,3.11,4.56,4.0,3.71,7,7,7,5.51,5.44
6.52,1.49,1.93,3.2,6.39,7,5.97,3.86,1.71,5.16
6.01,7,7,7,3.26,7,3.53,7,4.36,5.78
7,7,2.15,5.99,4.55,6.55,7,7,2.69,7
3.06,7,6.84,2.02,7,6.72,7,5.25,7,7
3.4,7,7,5.68,3.39,3.58,7,5.46,2.49,7
4.19,7,5.38,7,2.06,2.95,5.76,2.32,5.26,7
7,5.19,7,4.04,2.36,4.61,7,7,6.57,7
6.33,7,4.18,2.41,7,1.89,7,3.53,7,3.48
7,1.84,5.65,4.8,3.7,7,2.42,3.7,1.47,7
3.76,5.73,1.79,1.57,7,5.03,4.78,5.84,5.73,6.96
3.93,2.25,5.09,2.02,5.9,7,7,4.94,3.89,6.43
7,2.25,7,6.51,7,6.18,7,3.6,2.31,7
7,2.54,4.26,7,7,2.48,5.74,7,5.33,5.66
1.5,1.95,3.45,7,7,3.04,7,7,3.29,5.23
2.48,2.47,3.85,4.55,2.68,7,3.67,4.98,7,2.07
2.1,7,7,4.7,4.21,4.71,7,7,7,6.33
2.14,7,3.46,6.42,1.72,5.44,5.49,2.9,6.58,5.69
4.82,3.93,2.89,7,6.16,1.45,7,7,4.47,2.27
7,4.64,2.05,3.38,3.16,3.37,7,7,7,3.71
1.7,6.03,5.88,6.65,7,5.01,6.61,5.37,2.44,5.6
3.06,3.23,3.04,2.75,6.42,7,6.9,7,7,6.28
2.86,7,7,2.3,2.67,5.59,6.87,7,3.46,7
5.29,7,3.03,2.75,7,7,5.31,5.82,5.17,7
7,5.99,2.01,2.73,7,7,7,6.11,6.05,4.36
2.48,6.24,5.11,5.61,5.31,4.54,7,3.02,4.28,7
7,5.53,3.88,4.63,7,4.07,6.96,7,6.23,3.02
5.71,7,6.3,7,3.2,4.11,7,7,5.95,4.09
7,1.93,7,4.22,7,7,7,6.86,5.0,7
1.45,7,3.98,7,2.52,7,7,1.82,4.62,4.48
7,6.86,2.24,5.26,3.5,4.89,2.73,7,4.7,7
3.1,7,2.15,7,1.56,1.8,7,7,2.11,1.43
7,3.82,3.33,7,4.72,4.04,7,7,2.41,1.7
6.2,7,4.47,4.99,3.14,7,7,4.38,4.49,7
3.45,5.93,6.82,7,4.73,6.86,7,7,3.4,7
6.01,6.87,4.49,6.86,7,7,3.67,7,5.11,3.43
7,5.45,3.91,7,7,5.56,2.49,1.9,6.95,7
4.71,6.97,4.4,7,7,2.96,2.96,5.68,7,7
6.39,6.11,7,7,6.72,2.36,7,5.87,3.8,5.98
7,3.91,5.65,1.84,6.96,2.36,2.21,2.27,7,1.73
2.03,5.43,2.06,6.18,4.51,4.63,3.96,2.84,7,7
2.22,5.38,2.67,7,7,1.63,2.13,7,7,7
5.77,3.23,4.29,2.41,6.28,3.12,5.92,7,5.75,7
7,5.84,5.42,2.79,7,6.15,7,1.95,3.08,7
7,7,7,3.08,3.3,7,2.16,7,1.97,4.74
6.12,6.59,5.96,7,7,7,5.82,4.11,3.95,4.14
3.16,7,3.68,7,5.11,1.62,3.79,6.87,7,3.53
7,3.51,4.25,6.96,6.64,1.84,2.91,7,2.93,4.34
3.33,6.69,2.16,7,5.69,7,6.65,7,2.97,6.88
7,6.56,2.34,6.68,7,7,1.97,4.46,7,1.71
5.66,6.43,5.58,5.19,6.63,7,2.89,1.8,3.56,1.71
6.72,7,4.33,7,7,3.55,4.8,5.82,7,4.09
2.32,6.73,1.48,7,3.32,1.75,7,7,7,6.75
3.79,7,7,1.69,7,7,7,2.34,1.51,7
6.52,2.43,7,4.21,2.5,7,4.28,6.58,3.91,7
7,3.63,7,6.05,5.51,4.53,2.86,3.59,7,7
7,7,5.63,5.48,7,3.13,5.71,3.11,4.74,3.0
5.85,6.85,6.62,4.57,2.41,4.53,7,5.15,3.42,3.82
7,2.55,1.81,2.62,3.82,7,4.16,4.51,7,3.57
7,3.72,2.07,3.82,4.33,2.09,7,4.55,6.97,7
2.8,4.6,6.22,7,6.36,6.38,7,2.33,5.15,5.18
4.62,6.8,3.6,7,3.41,3.37,7,7,5.21,5.75
4.91,2.96,4.63,5.32,3.76,7,7,2.36,2.85,4.16
7,7,1.77,2.19,6.04,3.97,3.56,1.61,1.41,7
2.2,2.13,3.32,5.32,2.07,4.31,7,7,3.44,2.18
1.69,3.07,3.28,4.87,3.07,4.03,5.12,3.23,5.09,5.47
2.97,5.18,1.88,2.19,5.17,4.57,7,6.26,7,7
5.69,7,1.94,3.12,4.67,7,2.34,5.29,7,4.1
2.83,2.24,5.45,4.65,2.29,3.66,6.25,3.8,7,7
5.68,4.43,2.62,6.88,6.2,6.03,7,5.73,2.76,6.11
4.52,2.74,5.13,1.61,5.5,7,7,7,5.76,6.6
4.75,6.95,7,6.7,7,6.19,3.55,5.25,4.91,6.45
2.61,6.46,5.5,1.75,7,7,4.34,2.15,4.03,2.07
7,7,1.91,5.75,2.13,3.4,1.61,3.23,7,1.45
1.54,7,7,3.24,5.78,4.59,7,2.36,7,7
5.58,3.64,7,3.89,3.54,5.59,7,1.97,4.68,5.34
3.8,7,6.66,4.08,7,7,7,5.56,7,7
2.52,3.79,4.9,4.93,7,5.03,3.48,7,3.13,5.08
1.45,1.83,7,7,7,3.62,4.87,7,7,7
5.7,5.54,7,5.43,6.31,7,7,4.15,2.89,2.06
5.8,2.7,7,3.1,4.26,4.46,1.94,7,7,7
7,7,1.99,5.99,3.86,7,2.53,6.31,3.93,3.32
7,5.87,7,7,3.17,2.85,7,5.11,7,6.77
6.19,7,6.0,7,2.71,7,5.5,5.1,7,7
2.83,3.72,7,7,7,2.94,7,2.45,3.99,7
7,2.87,7,7,1.71,4.96,2.51,4.01,3.55,6.09
6.35,7,4.83,1.73,1.91,7,5.42,7,4.09,7
7,5.2,7,3.65,7,5.2,1.6,4.97,7,7
7,6.39,2.11,5.27,2.72,2.44,5.9,7,7,5.53
4.67,7,5.83,4.59,3.06,7,4.03,1.48,2.47,4.44
7,1.66,3.12,7,1.77,1.51,4.3,6.78,4.82,4.14
5.31,4.44,4.2,6.32,6.29,4.53,7,4.78,2.94,3.56
2.15,2.99,7,7,5.03,7,5.29,2.78,2.97,4.34
3.01,3.67,5.12,7,2.47,4.63,7,3.59,7,5.72
4.81,6.56,3.59,7,6.83,3.57,7,7,4.9,7
4.46,5.24,7,7,7,1.93,7,6.37,2.46,2.7
5.76,6.95,3.44,4.33,4.59,6.44,7,7,7,7
7,2.52,2.03,7,2.47,2.36,1.98,1.66,7,6.16
7,2.95,7,6.55,6.49,7,2.75,7,2.18,2.0
2.29,4.95,3.14,7,7,6.39,6.73,1.67,2.54,6.97
3.79,7,1.83,1.54,3.98,5.12,3.32,2.28,4.06,7
5.76,1.75,4.9,1.52,2.57,6.51,5.73,7,7,5.51
4.71,5.39,6.91,2.15,5.73,7,3.74,3.74,2.87,7
7,6.45,2.74,7,5.92,6.74,3.74,2.39,7,5.56
5.76,2.94,6.91,1.65,1.98,3.08,3.63,7,3.49,7
6.18,3.92,2.7,4.62,4.79,3.48,4.53,7,6.09,2.85
3.77,7,6.65,7,7,7,2.26,4.42,6.28,7
3.72,4.78,7,1.96,3.91,7,1.56,6.55,7,4.1
7,5.54,7,6.37,4.86,2.4,7,7,6.77,7
2.17,3.74,6.7,4.47,7,7,7,1.46,7,7
5.15,4.77,2.27,6.2,7,7,7,3.13,2.3,7
7,3.08,7,6.92,2.13,5.5,6.67,3.19,5.93,7
